(12/20/2023 12:23:39 PM) |> ----------------------------------------------
(12/20/2023 12:23:39 PM) |> Method; (SetupFormClass.SetupFormClass) [Start Up]
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (blue 8; 8 Points
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (12), Added; (Nothing)
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (blue 8; 8 Points
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:31:54 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 90), Value; (14)
(12/22/2023 11:31:54 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.DrawPileClickLogic), Player index; (0), add one
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 740)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 740)
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (775, 775)
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.UpdatePoints) [257]
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 8; 8 Points
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.UpdatePoints) [265]
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (blue 8; 8 Points
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (12), Added; (Nothing)
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (4)
Player1 CardCount; (2)
    PlusAmount (0)
    Discard Pile Count; (12), Top Card; (blue 8; 8 Points)
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (4)
Player1 CardCount; (1)
    PlusAmount (0)
    Discard Pile Count; (12), Top Card; (blue 8; 8 Points)
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (3)
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.cardPB_Click), Card Index (3)
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.CardPlay), c_card; (blue) (reverse), reverce, True
(12/22/2023 11:31:56 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player max-1
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.CardClickLogic), In skip
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player max-1
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player -1 0
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (3), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, reverse), Player Index (0)
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:56 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:31:56 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:31:56 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (750, 750)
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.UpdatePoints) [280]
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue reverse; 20 Points
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:56 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:31:56 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.UpdatePoints) [274]
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (blue reverse; 20 Points
(12/22/2023 11:31:56 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:56 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-5)
(12/22/2023 11:31:56 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (8)
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (13), Added; (blue reverse; 20 Points)
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:56 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (True),
Player0 CardCount; (3)
Player1 CardCount; (2)
    PlusAmount (0)
    Discard Pile Count; (13), Top Card; (blue reverse; 20 Points)
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (2)
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.cardPB_Click), Card Index (2)
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.CardPlay), c_card; (red) (reverse), reverce, False
(12/22/2023 11:31:57 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.CardClickLogic), In skip
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (2), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, reverse), Player Index (0)
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:57 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:31:57 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.UpdatePoints) [283]
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red reverse; 20 Points
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:57 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:31:57 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.UpdatePoints) [283]
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red reverse; 20 Points
(12/22/2023 11:31:57 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:57 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (0)
(12/22/2023 11:31:57 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (6)
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (14), Added; (red reverse; 20 Points)
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:57 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (2)
Player1 CardCount; (2)
    PlusAmount (0)
    Discard Pile Count; (14), Top Card; (red reverse; 20 Points)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.cardPB_Click), Card Index (0)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.CardPlay), c_card; (red) (1), error
(12/22/2023 11:31:58 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (0), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 1), Player Index (1)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:58 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (695, 695)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.UpdatePoints) [285]
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Draw Same]
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 1; 1 Points
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:58 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:31:58 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.UpdatePoints) [292]
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 1; 1 Points
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:58 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (6)
(12/22/2023 11:31:58 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-3)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (15), Added; (red 1; 1 Points)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 1; 1 Points
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/22/2023 11:31:58 AM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (1), Card index; (0), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 0
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.CardPlay), c_card; (red) (3), error
(12/22/2023 11:31:58 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (0), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 3), Player Index (0)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:58 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (695, 695)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.UpdatePoints) [287]
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Draw Same]
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:58 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (695, 695)
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.UpdatePoints) [298]
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
(12/22/2023 11:31:58 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:58 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-4)
(12/22/2023 11:31:58 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (8)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (16), Added; (red 3; 3 Points)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (1)
Player1 CardCount; (1)
    PlusAmount (0)
    Discard Pile Count; (16), Top Card; (red 3; 3 Points)
(12/22/2023 11:31:58 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (1)
Player1 CardCount; (2)
    PlusAmount (0)
    Discard Pile Count; (16), Top Card; (red 3; 3 Points)
(12/22/2023 11:31:59 AM) |> method; (GameLogicClass.DrawPile_Clicked)
(12/22/2023 11:31:59 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:31:59 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 89), Value; (79)
(12/22/2023 11:31:59 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:59 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:59 AM) |> method; (GameLogicClass.DrawPileClickLogic), Player index; (1), add one
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:59 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:31:59 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.UpdatePoints) [298]
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:59 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (695, 695)
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.UpdatePoints) [304]
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:59 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (16), Added; (Nothing)
(12/22/2023 11:31:59 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
(12/22/2023 11:31:59 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:31:59 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 88), Value; (28)
(12/22/2023 11:31:59 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:59 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:59 AM) |> method; (GameLogicClass.DrawPileClickLogic), Player index; (0), add one
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:59 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:31:59 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.UpdatePoints) [309]
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:59 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (red 3; 3 Points
